Region,Ownership,Program,Project Name,Site Name,GPS Level,Point Name,Ocean Name,Substrate,Biotic Subclass,Biotic Community,Status,Public,Boat Lat,Boat Long,Decimal Lat,Decimal Long,End Transect Decimal Lat,End Transect Decimal Lon,Established,Survey Type,Survey Frequency,Depth_m,Primary Sampling Method,Transect Bearing,Transect Distance,Last Updated,Other Structure,Bolt,Temperature Logger,Logger Type,Notes,Student Projects
Calvert,Hakai,Nearshore,Seagrass,McMullin North,site,NA,SEA08,sand,seagrass meadow,Zostera marina,active,yes,52 3.71999999999986,128 24.7200000000004,52.062,-128.412,NA,NA,2014,observation,annual,,transect,NA,30,201710,,,,,2016 Bed Size = 22778m2,"Prentice MSc 2016, Rechsteiner Phd 2017"
Calvert,Hakai,Nearshore,Seagrass,McMullin South,site,NA,SEA09,sand,seagrass meadow,Zostera marina,active,yes,52 3.11999999999998,128 24.1799999999995,52.052,-128.403,NA,NA,2014,observation,annual,,transect,NA,30,201710,,,,,2016 Bed Size = 16900m2,
Calvert,Hakai,Nearshore,Seagrass,Goose SW,site,NA,SEA07,sand,seagrass meadow,Zostera marina,active,yes,51 55.3617600000001,128 27.88794,51.922696,-128.464799,NA,NA,2014,observation,annual,,transect,NA,30,201710,,,,,2016 Bed Size = 215570m2,
Calvert,Hakai,Nearshore,Seagrass,Goose SE,site,NA,SEA06,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.4999999999998,128 27.2400000000005,51.925,-128.454,NA,NA,2014,observation,annual,,transect,NA,30,201710,,,,,2016 Bed Size = 569520m2,
Calvert,Hakai,Nearshore,Seagrass,Triquet Bay,site,NA,SEA10,sand,seagrass meadow,Zostera marina,active,yes,51 48.5399999999999,128 14.1599999999994,51.809,-128.236,NA,NA,2014,observation,annual,,transect,NA,30,201710,,,,,2016 Bed Size = 31074m2,Prentice MSc 2016
Calvert,Hakai,Nearshore,Seagrass,Triquet North,site,NA,SEA11,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5399999999999,128 14.8200000000008,51.809,-128.247,NA,NA,2014,observation,annual,,transect,NA,30,201710,,,,,old estimation = 8900m2,
Calvert,Hakai,Nearshore,Seagrass,Choked Lower,NA,NA,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.7333081999998,128 7.55880599999955,51.67888847,-128.1259801,NA,NA,2014,observation,seasonal,,transect,NA,30,201710,,,,,,Prentice MSc 2016
Calvert,Hakai,Nearshore,Seagrass,Choked Sandspit,NA,NA,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.6799999999998,128 6.90000000000055,51.678,-128.115,NA,NA,2014,observation,seasonal,,transect,NA,30,201710,,,,,,Prentice MSc 2016
Calvert,Hakai,Nearshore,Seagrass,Choked Interior,site,NA,SEA02,sand,seagrass meadow,Zostera marina,active,yes,51 40.4999999999998,128 7.13999999999999,51.675,-128.119,NA,NA,2015,observation,seasonal,,transect,NA,30,201710,,,,,2016 Bed Size = 354580m2,"Olson MSc 2015, Griffiths BSc 2015, Prentice MSc 2016"
Calvert,Hakai,Nearshore,Seagrass,Choked Wolf,NA,NA,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.3539894000001,128 7.03246199999967,51.67256649,-128.1172077,NA,NA,2015,observation,seasonal,,transect,NA,30,201801,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Choked ID,NA,NA,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.4722787999998,128 7.06636800000069,51.67453798,-128.1177728,NA,NA,2015,observation,seasonal,,transect,NA,30,201801,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Choked IC,NA,NA,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.4095236000001,128 7.08118199999944,51.67349206,-128.1180197,NA,NA,2015,observation,seasonal,,transect,NA,30,201801,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Choked Flat Islands,NA,NA,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.4956134000001,128 7.42458600000077,51.67492689,-128.1237431,NA,NA,2015,observation,seasonal,,transect,NA,30,201912,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Koeye Estuary,site,NA,SEA16,sand,seagrass meadow,Zostera marina,active,yes,51 46.8216000000001,127 52.2408600000003,51.78036,-127.870681,NA,NA,2016,observation,seasonal,,transect,NA,30,201710,,,,,2016 Bed Size = 26238m2,Prentice MSc 2016
Calvert,Hakai,Nearshore,Seagrass,Pruth Bay,site,NA,SEA15,sand,seagrass meadow,Zostera marina,active,yes,51 38.7192792,128 7.15513799999997,51.64532132,-128.1192523,NA,NA,2016,observation,seasonal,,transect,NA,30,201710,,,,,2016 Bed Size = 34982m2,"Prentice MSc 2016, Adamczyk PhD 2017, Graham PhD 2017"
Calvert,Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_E1,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.7291705999998,128 6.88513199999989,51.67881951,-128.1147522,51.678652,-128.114753,2015,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,180,30,201710,,,,,Old name = Sandspit,"Olson MSc 2015, Adamczyk Phd 2017"
Calvert,Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_E2,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.3539894000001,128 7.03246199999967,51.67256649,-128.1172077,51.6723987,-128.1172085,2015,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,180,30,201710,,,,,Old name = Wolf,"Olson MSc 2015, Adamczyk Phd 2017"
Calvert,Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_I5,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.4095236000001,128 7.08118199999944,51.67349206,-128.1180197,51.6735758,-128.1182532,2015,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,300,30,201710,,,,,Old name = InnerCarolyn,Olson MSc 2015
Calvert,Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_I4,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.4722787999998,128 7.06636800000069,51.67453798,-128.1177728,51.6744533,-128.1180077,2015,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,240,30,201710,,,,,Old name = InnerDerek,Olson MSc 2015
Calvert,Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_I6,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.4894046000001,128 7.16725800000006,51.67482341,-128.1194543,51.6749078,-128.1192199,2015,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,60,30,201710,,,,,Old name = InnerTristan,Olson MSc 2015
Calvert,Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_E3,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.4956134000001,128 7.42458600000077,51.67492689,-128.1237431,51.6750951,-128.1237423,2015,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,0,30,201710,,,,,Old name = Flat,Olson MSc 2015
Calvert,Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_E7,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.7333081999998,128 7.55880599999955,51.67888847,-128.1259801,51.6790564,-128.1259781,2015,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,0,30,201710,,,,,Old name = Lower,Olson MSc 2015
Calvert,Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_E1,NA,sand,seagrass meadow,Zostera marina,active,yes,51 38.8243194,128 7.22526599999924,51.64707199,-128.1204211,51.6470739,-128.1206929,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,270,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_E2,NA,sand,seagrass meadow,Zostera marina,active,yes,51 38.7975732000001,128 7.18798800000059,51.64662622,-128.1197998,51.6466265,-128.1200722,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,270,30,201710,,,,,,
